city,house_title,house_type,price,owner_name,no_of_reviews,rating,occupancy
Manhattan,A Beautiful Brownstone Apartment,Entire apartment,$91 ,Michael,279 Reviews,5,"['4 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n474 Reviews', '\U000f0019\nVerified']"
Manhattan,YOUR DREAM SUITE IN MANHATTAN,Private room in apartment,$87 ,Marilyn,137 Reviews,4,"['4 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n544 Reviews', '\U000f0019\nVerified']"
Manhattan,Manhattan's Best Deal!,Entire apartment,$165 ,Adrianne,272 Reviews,4.5,"['6 guests', '2 bedrooms', '5 beds', '1 bath', '\U000f0004\n410 Reviews', '\U000f0019\nVerified']"
Manhattan,Spacious room near Times Square,Private room in apartment,$88 ,Stephanie,118 Reviews,4.5,"['4 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n257 Reviews', '\U000f0019\nVerified']"
Manhattan,Entire Apartment Steps from Times Square!!! For 4!,Entire apartment,$99 ,Theresa,162 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n398 Reviews', '\U000f0019\nVerified']"
Manhattan,Modern & Trendy 2-Bedroom 1 Bath Lower Manhattan,Entire apartment,$90 ,Alex,117 Reviews,5,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n118 Reviews', '\U000f0019\nVerified']"
Manhattan,LARGE 2 Bedroom Midtown Manhattan Apartment!,Entire apartment,$124 ,Ethan,4 Reviews,5,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n4 Reviews', '\U000f0019\nVerified']"
Manhattan,Massive DUPLEX 2BR & 2BATH East Village,Entire apartment,$198 ,Seith,340 Reviews,4,"['8 guests', '2 bedrooms', '4 beds', '2 baths', '\U000f0004\n939 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']"
Manhattan,Luxury Central Park Apartment close to everything,Entire apartment,$199 ,Bozhena,125 Reviews,4.5,"['4 guests', '1 bedroom', '4 beds', '1 bath', '\U000f0004\n337 Reviews', '\U000f0019\nVerified']"
Manhattan,GREAT AND STYLISH APARTMENT! AMAZING LOCATION!,Entire apartment,$110 ,M. Alejandro,100 Reviews,4.5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n108 Reviews', '\U000f0019\nVerified']"
Manhattan,Big renovated studio up to 4 people in Manhattan,Entire apartment,$95 ,Gloria,20 Reviews,4.5,"['4 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n20 Reviews', '\U000f0019\nVerified']"
Manhattan,GORGEOUS 1 BDR PRIME HELL'S KITCHEN,Entire apartment,$134 ,Konstantin,261 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n263 Reviews', '\U000f0019\nVerified']"
Manhattan,Spacious Room in East Village/NoHo,Private room in apartment,$129 ,Sne,381 Reviews,5,"['3 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n382 Reviews', '\U000f0019\nVerified']"
Manhattan,Manhattan Lux Loft.Like.Love.Lots.Look !,Private room in loft,$271 ,Carol,526 Reviews,5,"['5 guests', '1 bedroom', '3 beds', '1 private bath', '\U000f0004\n533 Reviews', '\U000f1101\n5 References', '\U000f0019\nVerified']"
Manhattan,Cozy Hell's Kitchen/ Time Square Apartment- 2 BRM,Entire apartment,$145 ,Nivea And Jill,122 Reviews,4.5,"['8 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n124 Reviews', '\U000f0019\nVerified']"
Manhattan,"2 Blocks from Times Square, Centrally Located!",Entire apartment,$175 ,Astor,155 Reviews,4.5,"['5 guests', 'Studio', '4 beds', '1 bath', '\U000f0004\n214 Reviews', '\U000f0019\nVerified']"
Manhattan,Unique Loft GREAT location,Entire apartment,$189 ,Lee,166 Reviews,4.5,"['6 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n210 Reviews', '\U000f0019\nVerified']"
Manhattan,★Unique two bedroom on 2nd Avenue★,Entire apartment,$150 ,Zev,281 Reviews,4.5,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n613 Reviews', '\U000f0019\nVerified']"
Manhattan,Best of the East Village Cozy 2 Bedroom,Entire apartment,$100 ,Katya,203 Reviews,4.5,"['5 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n206 Reviews', '\U000f0019\nVerified']"
