,city,house_title,house_type,price,owner_name,no_of_reviews,rating,occupancy,occupancy_lst,no_of_guest,house_size,no_of_beds,no_of_baths,house,beds,bath
281,Manhattan,UNBEATABLE LOCATION/TIMES SQUARE!,Entire apartment,239,Leo,137,4.5,"['4 guests', '2 bedrooms', '0 beds', '1 bath', '󰀄
137 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '2 bedrooms'"", "" '0 beds'"", "" '1 bath'"", "" '\U000f0004\n137 Reviews'"", "" '\U000f0019\nVerified']""]",4, '2 bedrooms', '0 beds', '1 bath',2,0,1
282,Manhattan,NYC Bedroom in Amazing Location!,Private room in apartment,133,Sterling,143,5,"['4 guests', '1 bedroom', '3 beds', '1 shared bath', '󰀄
322 Reviews']","[""['4 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 shared bath'"", "" '\U000f0004\n322 Reviews']""]",4, '1 bedroom', '3 beds', '1 shared bath',1,3,1
283,Manhattan,Full Floor Apt 3Br in Times Sq,Entire apartment,378,Andrea,160,4.5,"['6 guests', '3 bedrooms', '4 beds', '1 bath', '󰀄
162 Reviews', '󰀙
Verified']","[""['6 guests'"", "" '3 bedrooms'"", "" '4 beds'"", "" '1 bath'"", "" '\U000f0004\n162 Reviews'"", "" '\U000f0019\nVerified']""]",6, '3 bedrooms', '4 beds', '1 bath',3,4,1
284,Manhattan,Sunny & Clean- Soho/west village loft,Entire apartment,169,Candy,14,4.5,"['6 guests', '3 bedrooms', '3 beds', '1 bath', '󰀄
14 Reviews', '󰀙
Verified']","[""['6 guests'"", "" '3 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n14 Reviews'"", "" '\U000f0019\nVerified']""]",6, '3 bedrooms', '3 beds', '1 bath',3,3,1
285,Manhattan,[205] 5 min WALK to Times Square,Private room in apartment,210,Yasu & Akiko,175,4.5,"['4 guests', '1 bedroom', '2 beds', '1 private bath', '󰀄
1875 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 private bath'"", "" '\U000f0004\n1875 Reviews'"", "" '\U000f0019\nVerified']""]",4, '1 bedroom', '2 beds', '1 private bath',1,2,1
286,Manhattan,NYC Top-Floor Mid-Town Apartment (new openings!),Private room in apartment,190,Chuck,21,5,"['5 guests', '1 bedroom', '2 beds', '1 private bath', '󰀄
21 Reviews', '󰀙
Verified']","[""['5 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 private bath'"", "" '\U000f0004\n21 Reviews'"", "" '\U000f0019\nVerified']""]",5, '1 bedroom', '2 beds', '1 private bath',1,2,1
287,Manhattan,Upper East Chic 1BR Apartment Near Central Park,Entire apartment,169,Song,30,4.5,"['4 guests', '1 bedroom', '3 beds', '1 bath', '󰀄
31 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n31 Reviews'"", "" '\U000f0019\nVerified']""]",4, '1 bedroom', '3 beds', '1 bath',1,3,1
288,Manhattan,Beautiful 1BR Apt near Time Square,Entire apartment,180,Lance,48,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
51 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n51 Reviews'"", "" '\U000f0019\nVerified']""]",4, '1 bedroom', '2 beds', '1 bath',1,2,1
289,Manhattan,Cute private space in an Awesome Location,Entire condominium,180,Fred,148,4,"['4 guests', 'Studio', '2 beds', '1 bath', '󰀄
148 Reviews']","[""['4 guests'"", "" 'Studio'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n148 Reviews']""]",4, 'Studio', '2 beds', '1 bath',0.5,2,1
290,Manhattan,NYC Top-Floor Mid-Town Apartment (new openings!),Private room in apartment,190,Chuck,21,5,"['5 guests', '1 bedroom', '2 beds', '1 private bath', '󰀄
21 Reviews', '󰀙
Verified']","[""['5 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 private bath'"", "" '\U000f0004\n21 Reviews'"", "" '\U000f0019\nVerified']""]",5, '1 bedroom', '2 beds', '1 private bath',1,2,1
